,URL 주소,댓글작성자명,댓글작성일자,댓글 내용
69,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              KPOP SDW
            ",1개월 전,오와 .. 음색이 묘하게 이런 음악이랑 굉장히 잘 어울리네요  일본어 번역도 감사합니다 
70,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              마산소
            ",1개월 전,소리에서 힘든게 티나지만 저걸라이브로 대단하시네
71,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              Justice
            ",1개월 전,엄청난 실력파네요...
72,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              CaffeHolic
            ",1개월 전,"와.. 밴드 백그라운드 아니면 그냥 가사만 음원 틀어놓은줄....
이게 보정없이 라이브가 되는구나...."
73,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              뇸뇸옴
            ",1개월 전,이걸 .. 라이브로 완벽하게 해내다니.. 천재적인 아이도루사마 ㄷㄷ
74,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              베가
            ",2주 전,이게 라이브로 부를수 있는 노래였구나 가슴이 웅장해진다
75,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              이종범
            ",1개월 전,라이브 진짜 잘한다... 박자 너무 빨라서 그냥 따라부르기만 해도 숨찰거 같은데...
76,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              Hyangmi Jo
            ",1개월 전,우아.. 이 노래가 라이브가 가능한 노래였구나....와...
77,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              pjwdmv
            ",1개월 전,늘 고맙게 보고있습니다. 개인적으로 이번 공연에서 괴물이 너무 좋더라구요. 아이돌과 함께 매일 돌려보고 있습니다 ㅎㅎ
78,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              yell pi
            ",4일 전,이분들이 이 노래에 원곡자 군요 그나저나 이 노래를 라이브로 하시다니 대단하십니다
79,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              tsu [ツ]
            ",1개월 전,"1절에서 음정 무너지길래 아 역시 춤추면서 이딴 곡을 라이브하는 건 좀 아닌가 싶었더니
오히려 랩 파트 넘어가면서 감을 잡은건지 음정 확 좋아지는 거 보고 놀랐네요"
80,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              에엥
            ",4주 전,다들 즐기면서 공연하는게 보여서 더 좋다
81,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              햄찌
            ",4주 전,이게 라이브가 되는구나... 쩐다...
82,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              01 jpg
            ",1개월 전,라이브 미쳤네 ㄷㄷ
83,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              어라랍스타
            ",2주 전,라이브 지리네 진짜
84,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              케이팝!!!!!!
            ",6시간 전,와 라이브로 들으신 분들 부럽다 ..
85,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              AirRune 애어룬 애니채널
            ",1개월 전,분위기가...미쳤다 미쳤어..ㄷㄷ
86,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              Whatever
            ",6일 전,노래방 가서 불러보면 얼마나 대단한지 느껴짐ㅋㅋㅋㅋㅋㅋ레알 숨쉬는곳이 없던데… 가사가 휘몰아침
87,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              좋은나무
            ",3주 전,정말 오래간만이다. 음악을 들으면서 소름돋다니~~~정말 엄청나네. 당분간 푹빠져서 못헤어나올것 같다. 넘치는 에너지. 미친 가창력. 완전 감동이다
88,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              애?기
            ",4주 전,요아소비는 진짜 신이다..
89,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              Shop Paint
            ",4주 전,보컬이랑 세션들이 즐기는모습이 더 보기좋네
90,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              맹구
            ",2일 전,이거 부르기전에 9곡인가 먼저 불렀는데도 이정도면 진짜 지린다
